W.T.F.,Redneck 22,Theeyy broke his jaw!
W.T.F.,Redneck 27,Brk hij-jrr! [a rooster in a cage crows]
W.T.F.,Mr. Conners,"So you see I have nothing left. Nothing! Not even the will to live. [He closes his eyes. The crowd takes it in, applauds, then gives him a standing ovation. He opens his eyes, surprised at the reaction. Flowers begin falling at his feet, and Vince McMahon steps into the ring to approach him]"
W.T.F.,Vince,"Sir, that was one of the finest wrestling performances I have ever seen."
W.T.F.,Mr. Conners,What?
W.T.F.,Vince,Will you not join our wrestling organization? I promise to make you our leading act.
W.T.F.,Mr. Conners,"You, you mean it?"
W.T.F.,Vince,Come! I want to get you in rehearsals right away! [leaves the ring with the coach]
W.T.F.,Kyle,What?
W.T.F.,Stan,Dude.
W.T.F.,Cartman,"Hey, what about us? Our show? [the coach is now grinning as the two men walk away]"
W.T.F.,Vince,"Sorry boys. You are decent wrestlers, but lack the raw wrestling talent this man has."
W.T.F.,The boys,Aaaaah.
W.T.F.,Cartman,"This is all your fault, Kyle! You screwed up the second act!"
W.T.F.,Kyle,Me?! It was your stupid-ass writing!
W.T.F.,Jimmy,Face it: Stan's crappy singing is what sssunk us!
W.T.F.,Stan,"What?? [three fights break out in the ring: Cartman vs. Kyle, Jimmy vs. Stan, and Token vs. Butters]"
W.T.F.,Jimmy,"You can s-, you can suck, suck my balls!"
W.T.F.,Stan,"Don't go pointing fingers at me, Cartman! You have no idea what you're talking about, and it wasn't... [the fighting continues. The crowd gets bored of this unscripted fight]"
W.T.F.,Redneck 28,What the hell's this?
W.T.F.,Redneck 29,This is Goddamned fake!
W.T.F.,Darryl,"Screw this, this is just stupid. [leaves his seat. Other spectators leave their seats as the boys continue to fight in the ring]"
W.T.F.,Cartman,"Oh, don't start with me, Kenny!"
W.T.F.,Redneck 30,FAKE!
W.T.F.,Cartman,Kenny! I'm-
Whale Whores,Scene Description,"Denver Aquarium, day. A group of people are wading around in a dolphin pool. Among them are the Marshes."
Whale Whores,Chet,"All right, everyone, welcome to the Dolphin Encounter here at the Denver Aquarium. [a woman behind him waves at everyone. Randy takes a picture of the trainers] My name is Chet and I'll be your guide and trainer as you meet these intelligent and truly magical creatures. [several dolphins swim in from another part of the pool] And here they come: this is Trigger and Dolly, uh there's Bubbles."
Whale Whores,Stan,[happily] Wow cool.
Whale Whores,Randy,"Pretty neat birthday, huh Stan?"
Whale Whores,Stan,"Yeah, this is gonna be awesome."
Whale Whores,Chet,If they come near you you can touch their back just no grabbing please. What whimsical creatures aren't they? All the dolphins you will be encountering today are Atlantic bottlenose dolphins. Now who would like to get a kiss from one?
Whale Whores,Girl,I would like to-
Whale Whores,Randy,[barging in] MEMEME. I wanna kiss it! I wanna kiss it!
Whale Whores,Chet,"Uh all right, let's just uh, get you to put your hands, palms down, on the water. [a dolphin swims by] The- [a rumble is heard, and then gets louder]"
Whale Whores,Stan,What the hell is that? [the trainer turns around. A group of Japanese men in kimonos run towards the pool with harpoons in hand.]
Whale Whores,Trainer 2,"Oh no it's the Japanese! [The group jumps in and proceeds to stab every dolphin in there repeatedly until the dolphins bleed to death, then jumps out of the pool and runs back towards the way it came from.]"
Whale Whores,Japanese Man 1,(In Japanese Accent) Fuck youuu dofiiin!
Whale Whores,Japanese Man 2,(In Japanese Accent) Fuck you dofiiin! [they leave behind a pool of dead dolphins and bewildered guests. The girl begins to cry.]
Whale Whores,Scene Description,Another location. The guide here is in front of a huge tank with a thick glass wall through which sea life can be seen.
